ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Correlation_Correlation_DNA_DUTP,Location_Center_X,Location_Center_Y,Number_Object_Number
1,49,24,673,326,1.003109807,0.580925671,1,0.8,1.078045077,6.160938134,5.385164807,2.828427125,1.380648455,1,4,5.014736323,19.604884,16.726,0.905660377,0.024935519,672.6666667,325.875,49
1,36,54,676,279,2.348852456,0.972228175,1,0.635294118,0.470725995,17.56635024,16.1245155,2,1.342320025,1,3.676955262,4.111140594,8.736230893,37.968,0.864,0.049380861,674.2037037,277.8888889,36
1,46,56,685,312,2.552651365,0.973193711,1,0.622222222,0.400877154,18.65813592,17.11724277,2.828427125,1.317604365,1,4,4.291127912,2.706461263,41.898,0.817518248,-0.297658452,681.5892857,311.75,46
1,152,29,713,902,2.597877758,0.978590881,1,0.743589744,0.398461939,13.64234185,12.04159458,2,1.132014728,1,2,2.807800989,3.722870537,30.242,0.966666667,0.103598872,714.0344828,902.2068966,152
1,4,140,719,13,3.124941297,0.984870931,1,0.777777778,0.381613681,32.91335777,29.15475947,3,1.675051384,2,5,5.70353916,2.623665333,67.898,0.918032787,0.272297339,722.1142857,12.97142857,4
1,59,782,733,390,7.987718412,0.997719083,1,0.685964912,0.166080277,125.620219,113.039816,5,2.215474082,2,9,8.479719321,1.162243603,243.248,0.84677856,0.308862934,760.5920716,390.1585678,59
1,101,128,787,635,3.620715973,0.988755965,1,0.666666667,0.336481416,33.99760975,31.06444913,3,1.526008189,1.207106781,4.44995077,5.083937803,1.833157971,69.14,0.839344262,0.097356933,783.4921875,634.5703125,101
1,15,5,794,80,1.005309649,0,1,0.555555556,0.491022141,2.618497573,2,1.414213562,1.082842712,1,1.414213562,2.618497573,0,11.312,1.111111111,0,794,80,15
1,27,17,795,218,1.73929005,0.943963514,1,0.708333333,0.6137927,8.33315515,7.071067812,1.414213562,1.048731007,1,2,2.750356354,-0.103796248,18.656,1.03030303,0,794.8235294,218.2941176,27
1,75,4,801,466,1.963495408,0.999782577,1,1,0.502654825,4.555955615,3,1,1,1,0,0.095,0,10,1,0,802.5,466,75
1,66,18,800,417,3.273031029,0.985887235,1,0.818181818,0.447440422,12.15777648,10,1,1,1,1,2.035342537,-0.655489165,22.484,0.9,0,803.8333333,416.3888889,66
1,150,41,816,899,1.023601002,0.438543753,1,0.732142857,0.778483102,7.769502657,7.211102551,3,1.587473354,1.414213562,6,6.982528491,-68.60515946,25.726,0.891304348,-0.265610747,815.4390244,899.3902439,150
1,47,36,878,317,1.54588229,0.929983072,1,0.818181818,0.683546138,11.25982439,10.04987562,2,1.351579285,1,3,4.139137884,4.213484511,25.726,0.923076923,-0.069043283,875.3888889,316.3611111,47
1,16,54,889,115,1.642221552,0.934107372,1,0.771428571,0.521568482,14.23143066,13.03840481,3,1.480692914,1,4,5.080509468,3.192206205,36.07,0.915254237,0.222052043,891,115.1851852,16
1,62,28,905,410,1.237345576,0.863984349,1,0.875,0.79257218,8.482212862,7.280109889,2,1.33009431,1,3,4.270952484,-0.527809257,21.07,0.933333333,0.1299827,902.7142857,410.3928571,62
1,120,4,946,752,1.079922475,0.780625259,1,0.666666667,1.134601174,2.916356057,2,1,1,1,1,1.822720681,0,6.656,1.333333333,-0.849643585,945,752.25,120
1,28,19,964,217,3.534119976,0.989536864,1,0.791666667,0.317701048,13.01625198,11.04536102,1,1,1,1,1.877988296,3.246762656,27.414,1,0.07512649,970.4210526,217.3684211,28
1,76,107,984,480,4.117942297,0.992026046,1,0.862903226,0.293752118,33.25591092,30.06659276,2,1.398662189,1,3,4.191343059,1.518106833,67.656,0.942731278,-0.15803796,972.7570093,480.3364486,76
1,77,7,993,480,1.575375908,0.930207453,1,0.7,0.696018434,5.076442548,4,1,1,1,1,1.863227966,-4.307824092,11.242,1,0.139692384,992.1428571,480.7142857,77
1,125,1611,1003,791,3.223310169,0.985748664,1,0.667080745,0.272853458,113.2233577,114.0394669,10,4.089398271,4,19.49571129,19.04697263,1.854099125,272.388,0.853736089,0.234750351,993.0117939,790.6846679,125
1,30,3,993,230,1.396263402,0.999598502,1,1,0.589048623,3.352821358,2,1,1,1,0,0.095,0,8,1,0.767152772,994,230,30
1,162,40,999,945,2.000212773,0.960132722,1,0.769230769,0.520699726,13.8249665,12.04159458,2,1.291421356,1,3,3.864694043,-1.423362602,31.07,0.879120879,0.150669978,1000.625,944.275,162
1,56,75,1015,362,5.92644187,0.995903267,1,0.625,0.218636309,33.52539824,29.06888371,2,1.168758057,1,2.627941656,3.031534481,2.024878627,65.656,0.793650794,0.047551739,1016.56,362.2266667,56
1,144,29,1018,860,1.037193163,0.690455979,1,0.828571429,1.039244713,7.180777871,6.32455532,2.828427125,1.447034139,1,4,5.194390978,9.968582888,18.726,0.920634921,-0.12843927,1018.172414,859.8965517,144
1,38,2,1026,297,0.785398163,0.998966408,1,1,0.698131701,2.09,1,1,1,1,0,0.095,0,6,1,0,1025.5,297,38
1,161,59,1060,940,2.304274134,0.969792303,1,0.694117647,0.422352716,18.14262331,16.1245155,2.236067978,1.34528188,1,4,4.425568969,2.649227696,41.898,0.830985915,-0.042628721,1057.762712,939.9661017,161
1,82,10,1065,505,3.392920066,0.978882671,1,0.416666667,0.272257327,9.193599892,7,1.414213562,1.041421356,1,1.972787848,1.879382246,0,21.484,0.833333333,0.175573923,1063,505,82
1,81,36,1075,505,1.132174616,0.807368583,1,0.8,0.803643271,8.864270463,8.062257748,3,1.505557167,1.207106781,4,5.230340016,2.706299502,23.726,0.935064935,0.35097686,1075.305556,505.0555556,81
1,139,395,1097,835,6.416606158,0.996286436,1,0.601217656,0.201278528,79.94417994,72.02777242,4,1.883692305,2,7.138306102,6.883253466,2.246205017,157.038,0.806945863,0.241645439,1077.731646,833.2329114,139
1,149,244,1092,897,2.625168301,0.978454625,1,0.824324324,0.45828491,39.56395452,36.12478374,4,2.156127043,2,7,8.168452197,2.592988885,81.796,0.947572816,0.340483166,1102.405738,896.9303279,149
1,89,112,1115,561,2.206763295,0.966951544,1,0.666666667,0.493899066,24.36086723,23.34523506,3,1.705807121,1.414213562,5.95366726,6.211051991,6.82806079,53.382,0.925619835,0.02651758,1119.803571,561.6339286,89
1,73,233,1124,460,1.008408232,0.34767912,1,0.761437908,0.916496358,17.89721684,17.4642492,8.062257748,3.151032539,2.828427125,16,16.78067359,16.87770808,56.522,0.937625755,0.174623615,1123.969957,459.5107296,73
1,140,5,1124,836,1.005309649,0.807436681,1,0.833333333,1.025364399,3.18564071,2.236067978,1,1,1,1,1.879382246,18.43494882,7.828,1,0,1124.2,835.4,140
1,33,26,1134,252,1.936862653,0.95708093,1,0.65,0.552766656,10.9622464,9.219544457,2,1.179109779,1,2.549509757,3.177086967,11.44756516,24.312,0.866666667,0,1132.346154,251.5,33
1,53,45,1139,346,2.727298893,0.982002784,1,0.9375,0.449114665,17.43674648,15.03329638,2,1.285076158,1,2,3.293216241,0.511708882,35.484,0.97826087,0.165235228,1144.333333,345.9777778,53
1,34,12,1151,272,1.658062789,0.95315121,1,1,0.589048623,6.909222259,5.099019514,1,1,1,1,2.09,0,16,1,0.324743399,1148.5,271.5,34
1,157,14,1167,909,1.367004967,0.89593295,1,0.666666667,0.64745962,6.478430578,6,2,1.130601937,1,2,2.877649646,3.67618968,16.484,0.875,0,1166.857143,908.9285714,157
1,158,20,1173,910,2.748893572,0.984472751,1,0.909090909,0.535899528,11.73292706,10.04987562,1,1,1,1,2.059568331,1.734114629,21.656,1,-0.31467187,1177,909.5,158
1,35,30,1182,274,2.861409131,0.981176658,1,0.535714286,0.370513649,14.58956278,13.03840481,2,1.108088023,1,2.356659957,2.81742424,4.823233895,31.898,0.769230769,0.032279135,1178.6,273.6666667,35
1,106,2,1238,658,0.785398163,0.998966408,1,1,0.698131701,2.09,1,1,1,1,0,0.095,0,6,1,0,1237.5,658,106
1,108,24,1283,668,2.104394385,0.955542698,1,0.6,0.397238925,10.96349655,9.055385138,1.414213562,1.086294492,1,2.959181772,3.232617262,4.745587233,27.554,0.75,-0.066604137,1285.291667,667.7916667,108
1,39,8,1295,298,0.957204012,0.605068787,1,0.888888889,0.857439244,3.550441361,2.828427125,1.414213562,1.051776695,1,2,2.826766256,45,10.828,1,0,1295.125,297.875,39
1,61,39,1300,387,2.945901815,0.976699134,1,0.696428571,0.406410528,16.79208726,13.15294644,2,1.232591482,1,3,3.603802641,-0.99941067,34.726,0.795918367,-0.411454952,1304.076923,387.1282051,61
1,8,16,1315,27,0.981747704,0.57236935,1,0.8,1.134601174,4.981732037,4.123105626,2,1.228553391,1,3,4.085,90,13.312,0.888888889,0.68102734,1315.5,27,8
1,20,13,1328,146,1.841771205,0.962670878,1,0.928571429,0.65208038,7.63048595,6.08276253,1,1,1,1,2.065379326,2.144576664,15.828,1,0,1330.769231,146.5384615,20
1,116,48,1327,733,2.00048139,0.961313306,1,0.64,0.522770591,15.15046961,14.14213562,2,1.343443362,1,3.726206568,4.173307539,-9.193333691,33.968,0.914285714,-0.162779857,1332.125,732.3125,116
1,112,18,1339,691,1.045042824,0.717765349,1,0.75,0.914630809,5.774155371,5.099019514,2,1.258714125,1,3,4.020458196,-12.23581027,15.726,0.923076923,0.527717096,1339.277778,691.3888889,112
1,21,5,1338,147,2.513274123,0.999862921,1,1,0.436332313,5.737712114,4,1,1,1,0,0.095,0,12,1,0,1340,147,21
1,58,5,1343,384,1.005309649,0,1,0.555555556,0.491022141,2.618497573,2,1.414213562,1.082842712,1,1.414213562,2.618497573,0,11.312,1.111111111,0.329446855,1343,384,58
1,121,85,1357,756,2.028728377,0.964222865,1,0.894736842,0.512428258,20.31709327,18.11077028,3,1.632774641,1.414213562,4,5.385917944,0.74975097,45.656,0.944444444,0.024510874,1353.152941,755.9529412,121
1,7,56,1362,23,1.416664799,0.908320189,1,0.717948718,0.706787807,13.19435616,12.16552506,3,1.552050619,1.414213562,5,5.518876563,5.951072427,31.554,0.888888889,0.227707665,1360.821429,22.85714286,7
1,129,39,1359,788,2.466710825,0.976778023,1,0.65,0.412134716,15.37623235,14.03566885,2,1.211349761,1,3,3.294416298,3.189375394,34.484,0.847826087,-0.075470777,1361.205128,788.0769231,129
1,19,235,1359,136,4.118543213,0.991776477,1,0.799319728,0.2710357,49.22563709,48.01041554,3,1.802432719,2,5,6.300000923,0.37706405,104.382,0.947580645,0.197492379,1363.651064,136.8382979,19
