    al	    xc	    yc	    do	     h	    xl	    yl	    lo	counter
  2.09	317.50	413.00	 63.00	 16.00	707.44	434.88	 17.00	  5.00
  2.09	317.50	413.00	 63.00	 17.00	718.21	433.93	 18.00	  6.00

  3.19	330.80	413.60	 64.00	  9.00	585.49	430.19	 13.00	  1.00
  3.19	330.80	413.60	 64.00	 11.00	607.94	430.42	 14.00	  2.00
  3.19	330.80	413.60	 64.00	 12.00	616.90	430.55	 15.00	  3.00
  3.19	330.80	413.60	 64.00	 14.00	656.56	432.75	 16.00	  4.00
  3.19	330.80	413.60	 64.00	 16.00	707.44	434.88	 17.00	  5.00
  3.19	330.80	413.60	 64.00	 17.00	718.21	433.93	 18.00	  6.00

  3.35	341.00	414.00	 65.00	  9.00	585.49	430.19	 13.00	  1.00
  3.35	341.00	414.00	 65.00	 11.00	607.94	430.42	 14.00	  2.00
  3.35	341.00	414.00	 65.00	 12.00	616.90	430.55	 15.00	  3.00
  3.35	341.00	414.00	 65.00	 14.00	656.56	432.75	 16.00	  4.00
  3.35	341.00	414.00	 65.00	 16.00	707.44	434.88	 17.00	  5.00
  3.35	341.00	414.00	 65.00	 17.00	718.21	433.93	 18.00	  6.00

 14.02	368.00	650.50	103.00	 20.00	770.50	633.50	 29.00	  1.00
 14.02	368.00	650.50	103.00	 28.00	1341.00	690.50	 30.00	  2.00

 10.82	375.75	433.63	 69.00	  9.00	585.49	430.19	 13.00	  1.00
 10.82	375.75	433.63	 69.00	 11.00	607.94	430.42	 14.00	  2.00
 10.82	375.75	433.63	 69.00	 12.00	616.90	430.55	 15.00	  3.00
 10.82	375.75	433.63	 69.00	 14.00	656.56	432.75	 16.00	  4.00
 10.82	375.75	433.63	 69.00	 16.00	707.44	434.88	 17.00	  5.00
 10.82	375.75	433.63	 69.00	 17.00	718.21	433.93	 18.00	  6.00


  5.08	384.14	651.29	104.00	 20.00	770.50	633.50	 29.00	  1.00
  5.08	384.14	651.29	104.00	 28.00	1341.00	690.50	 30.00	  2.00

  3.35	388.00	434.00	 70.00	  9.00	585.49	430.19	 13.00	  1.00
  3.35	388.00	434.00	 70.00	 11.00	607.94	430.42	 14.00	  2.00
  3.35	388.00	434.00	 70.00	 12.00	616.90	430.55	 15.00	  3.00
  3.35	388.00	434.00	 70.00	 14.00	656.56	432.75	 16.00	  4.00
  3.35	388.00	434.00	 70.00	 16.00	707.44	434.88	 17.00	  5.00
  3.35	388.00	434.00	 70.00	 17.00	718.21	433.93	 18.00	  6.00

  3.19	394.20	434.40	 71.00	  9.00	585.49	430.19	 13.00	  1.00
  3.19	394.20	434.40	 71.00	 11.00	607.94	430.42	 14.00	  2.00
  3.19	394.20	434.40	 71.00	 12.00	616.90	430.55	 15.00	  3.00
  3.19	394.20	434.40	 71.00	 14.00	656.56	432.75	 16.00	  4.00
  3.19	394.20	434.40	 71.00	 16.00	707.44	434.88	 17.00	  5.00
  3.19	394.20	434.40	 71.00	 17.00	718.21	433.93	 18.00	  6.00

  8.00	412.45	552.30	 87.00	 32.00	1457.00	587.20	 23.00	  1.00
  8.00	412.45	552.30	 87.00	 38.00	1702.54	584.54	 21.00	  2.00

 29.97	420.05	505.82	 80.00	  7.00	419.00	506.00	 19.00	  1.00




 22.20	474.00	745.07	118.00	 23.00	999.66	784.92	 31.00	  1.00

 23.33	475.37	603.96	 98.00	  2.00	141.43	589.46	 22.00	  1.00
 23.33	475.37	603.96	 98.00	  3.00	166.30	581.05	 20.00	  2.00
 23.33	475.37	603.96	 98.00	 20.00	770.50	633.50	 29.00	  3.00
 23.33	475.37	603.96	 98.00	 32.00	1457.00	587.20	 23.00	  4.00
 23.33	475.37	603.96	 98.00	 33.00	1473.65	589.92	 24.00	  5.00
 23.33	475.37	603.96	 98.00	 34.00	1481.00	589.80	 25.00	  6.00
 23.33	475.37	603.96	 98.00	 35.00	1516.00	591.00	 26.00	  7.00
 23.33	475.37	603.96	 98.00	 36.00	1538.68	591.61	 27.00	  8.00
 23.33	475.37	603.96	 98.00	 37.00	1633.71	608.50	 28.00	  9.00

 47.20	483.71	303.56	 40.00	  1.00	 66.72	306.17	  6.00	  1.00
 47.20	483.71	303.56	 40.00	 10.00	599.50	308.44	  7.00	  2.00
 47.20	483.71	303.56	 40.00	 40.00	1767.43	329.62	  8.00	  3.00

 25.70	501.53	337.22	 51.00	  8.00	491.75	336.75	  9.00	  1.00

 63.27	523.18	880.43	146.00	  5.00	270.50	907.00	 40.00	  1.00
 63.27	523.18	880.43	146.00	  6.00	307.85	881.00	 37.00	  2.00
 63.27	523.18	880.43	146.00	 13.00	630.69	845.69	 36.00	  3.00
 63.27	523.18	880.43	146.00	 25.00	1095.11	897.32	 39.00	  4.00
 63.27	523.18	880.43	146.00	 31.00	1453.56	893.14	 38.00	  5.00

 45.65	529.40	810.54	135.00	 13.00	630.69	845.69	 36.00	  1.00
 45.65	529.40	810.54	135.00	 22.00	994.62	794.68	 32.00	  2.00
 45.65	529.40	810.54	135.00	 23.00	999.66	784.92	 31.00	  3.00
 45.65	529.40	810.54	135.00	 24.00	1012.53	794.93	 33.00	  4.00
 45.65	529.40	810.54	135.00	 26.00	1095.53	834.30	 35.00	  5.00
 45.65	529.40	810.54	135.00	 30.00	1449.50	821.50	 34.00	  6.00

 45.00	544.81	317.53	 48.00	  1.00	 66.72	306.17	  6.00	  1.00
 45.00	544.81	317.53	 48.00	 10.00	599.50	308.44	  7.00	  2.00
 45.00	544.81	317.53	 48.00	 40.00	1767.43	329.62	  8.00	  3.00




  7.05	587.81	670.81	109.00	 28.00	1341.00	690.50	 30.00	  1.00

152.38	588.63	308.16	 44.00	  1.00	 66.72	306.17	  6.00	  1.00
152.38	588.63	308.16	 44.00	 10.00	599.50	308.44	  7.00	  2.00
152.38	588.63	308.16	 44.00	 40.00	1767.43	329.62	  8.00	  3.00

 21.78	611.67	884.84	147.00	  5.00	270.50	907.00	 40.00	  1.00
 21.78	611.67	884.84	147.00	  6.00	307.85	881.00	 37.00	  2.00
 21.78	611.67	884.84	147.00	 13.00	630.69	845.69	 36.00	  3.00
 21.78	611.67	884.84	147.00	 25.00	1095.11	897.32	 39.00	  4.00
 21.78	611.67	884.84	147.00	 31.00	1453.56	893.14	 38.00	  5.00


 49.30	631.29	846.02	141.00	  6.00	307.85	881.00	 37.00	  1.00
 49.30	631.29	846.02	141.00	 13.00	630.69	845.69	 36.00	  2.00
 49.30	631.29	846.02	141.00	 26.00	1095.53	834.30	 35.00	  3.00
 49.30	631.29	846.02	141.00	 30.00	1449.50	821.50	 34.00	  4.00
 49.30	631.29	846.02	141.00	 31.00	1453.56	893.14	 38.00	  5.00

216.26	640.16	431.70	 68.00	  9.00	585.49	430.19	 13.00	  1.00
216.26	640.16	431.70	 68.00	 11.00	607.94	430.42	 14.00	  2.00
216.26	640.16	431.70	 68.00	 12.00	616.90	430.55	 15.00	  3.00
216.26	640.16	431.70	 68.00	 14.00	656.56	432.75	 16.00	  4.00
216.26	640.16	431.70	 68.00	 16.00	707.44	434.88	 17.00	  5.00
216.26	640.16	431.70	 68.00	 17.00	718.21	433.93	 18.00	  6.00

 26.47	652.64	769.29	124.00	 22.00	994.62	794.68	 32.00	  1.00
 26.47	652.64	769.29	124.00	 23.00	999.66	784.92	 31.00	  2.00
 26.47	652.64	769.29	124.00	 24.00	1012.53	794.93	 33.00	  3.00

  7.49	662.11	310.83	 45.00	  1.00	 66.72	306.17	  6.00	  1.00
  7.49	662.11	310.83	 45.00	 10.00	599.50	308.44	  7.00	  2.00
  7.49	662.11	310.83	 45.00	 40.00	1767.43	329.62	  8.00	  3.00

  0.10	663.00	521.00	 84.00	  7.00	419.00	506.00	 19.00	  1.00

 11.11	666.59	126.56	 17.00	 15.00	664.50	127.00	  4.00	  1.00
 11.11	666.59	126.56	 17.00	 29.00	1356.61	137.07	  5.00	  2.00

 12.31	666.73	688.23	111.00	 28.00	1341.00	690.50	 30.00	  1.00

  6.16	672.67	325.88	 49.00	  1.00	 66.72	306.17	  6.00	  1.00
  6.16	672.67	325.88	 49.00	  8.00	491.75	336.75	  9.00	  2.00
  6.16	672.67	325.88	 49.00	 40.00	1767.43	329.62	  8.00	  3.00


 18.66	681.59	311.75	 46.00	  1.00	 66.72	306.17	  6.00	  1.00
